주말에 친구들이랑 등산 갔다 왔어.	I went hiking with my friends over the weekend.
요즘 운동을 시작했는데 생각보다 재밌어.	I started working out recently and it's more fun than I expected.
이번 주말엔 집에서 쉬면서 넷플릭스 볼 거야.	I'm going to relax at home and watch Netflix this weekend.
그 식당은 맛있는데 가격이 좀 비싸.	The restaurant is good but a bit expensive.
커피 마시면서 얘기 좀 할래?	Want to grab coffee and talk?
어제 너무 피곤해서 일찍 잤어.	I was so tired yesterday that I went to bed early.
이 옷 세일할 때 샀는데 정말 싸게 샀어.	I bought these clothes on sale and got them really cheap.
내일 날씨가 좋으면 공원에 갈 생각이야.	If the weather is nice tomorrow, I'm thinking of going to the park.
요즘 스트레스 받아서 취미 생활이 필요해.	I've been stressed lately so I need a hobby.
여행 계획 세우는 게 생각보다 어렵네.	Planning a trip is harder than I thought.
주말마다 집안일 하느라 시간 가는 줄 몰라.	I lose track of time doing housework every weekend.
밥 먹고 나서 산책하는 게 습관이 됐어.	It's become a habit to take a walk after eating.
요즘 물가가 너무 올라서 장보기 부담스러워.	Prices have gone up so much that grocery shopping feels burdensome.
새로 생긴 카페가 분위기 좋던데 같이 가볼래?	The new cafe has a nice atmosphere. Want to check it out?
이번 주는 야근이 많아서 정말 힘들었어.	This week was really tough because I worked overtime a lot.
회의 시작 전에 자료 검토 좀 해줄 수 있어?	Can you review the materials before the meeting starts?
보고서 작성하다가 막혀서 조언 좀 구하고 싶어.	I'm stuck writing the report and would like some advice.
프로젝트 마감이 다음 주라서 요즘 너무 바빠.	The project deadline is next week so I'm really busy these days.
점심 먹고 오후에 회의 있으니까 준비해둬.	We have a meeting in the afternoon after lunch, so be prepared.
이메일 확인했는데 긴급한 건 없었어.	I checked my email but there was nothing urgent.
오늘 회의는 30분 정도 걸릴 것 같아.	Today's meeting will probably take about 30 minutes.
이번 분기 목표 달성하려면 더 노력해야 해.	We need to work harder to meet this quarter's goals.
팀장님이 승인해주셔야 진행할 수 있어.	We can proceed once the team leader approves it.
출장 준비하느라 어제 늦게까지 일했어.	I worked late yesterday preparing for the business trip.
동료가 도와줘서 일을 빨리 끝낼 수 있었어.	My colleague helped me so I could finish the work quickly.
고객 미팅 결과가 생각보다 좋았어.	The client meeting went better than expected.
이 업무는 경험이 없어서 배우는 데 시간이 걸려.	This task is new to me so it takes time to learn.
휴가 쓰고 싶은데 일정 조율이 어려워.	I want to take vacation but coordinating the schedule is difficult.
사무실 분위기가 좋아서 일하기 편해.	The office atmosphere is nice so it's comfortable to work.
다음 주 월요일에 발표 예정이니까 미리 준비해줘.	The presentation is scheduled for next Monday, so prepare in advance.
회의실이 다 찼는데 다른 곳 예약할까?	The meeting rooms are all full. Should we book somewhere else?
이번 학기는 수업이 많아서 좀 벅차.	This semester is a bit overwhelming because I have a lot of classes.
과제 제출 기한을 놓쳐서 교수님께 사과드렸어.	I missed the assignment deadline so I apologized to the professor.
도서관에서 공부하면 집중이 더 잘 돼.	I can focus better when I study at the library.
조별 과제는 역할 분담이 중요해.	Role distribution is important for group projects.
시험 범위가 넓어서 계획적으로 공부해야 해.	The exam covers a lot so I need to study systematically.
수업 끝나고 친구들이랑 밥 먹기로 했어.	I'm meeting friends for a meal after class.
이 과목은 출석이 성적에 많이 반영돼.	Attendance counts a lot for the grade in this course.
발표 자료 만들다가 막혀서 팀원들한테 물어봤어.	I got stuck making the presentation so I asked my teammates.
교환학생 프로그램 신청하려고 서류 준비 중이야.	I'm preparing documents to apply for the exchange program.
캠퍼스가 넓어서 건물 찾기가 처음엔 어려웠어.	The campus is big so finding buildings was hard at first.
전공 수업이 어려워서 스터디 그룹에 참여했어.	The major classes are difficult so I joined a study group.
