Core_Concept	Context
Memory hierarchy consists of storage devices with different capacities, costs, and access times arranged in levels.	This fundamental architecture allows programs to achieve the performance of fast storage at the cost of cheap storage by exploiting locality patterns in program behavior.
CPU registers hold the most frequently used data and can be accessed in zero cycles during instruction execution.	This highest level of the memory hierarchy enables immediate data access, making register allocation a critical optimization for compiler performance.
Static RAM (SRAM) stores each bit in a bistable memory cell implemented with a six-transistor circuit.	This bistable design allows SRAM to retain its value indefinitely while powered and provides the foundation for understanding cache memory implementation.
SRAM memory cells can stay indefinitely in either of two stable voltage configurations or states.	This stability makes SRAM suitable for cache memories where data persistence and fast access are critical for system performance.
Dynamic RAM (DRAM) stores each bit as charge on a capacitor with typically 30 femtofarads capacity.	This simple single-capacitor-plus-transistor design enables very dense memory but requires periodic refresh due to charge leakage over time.
DRAM memory cells lose charge within 10 to 100 milliseconds due to various leakage currents.	This fundamental limitation requires memory systems to implement periodic refresh cycles to maintain data integrity in main memory.
SRAM uses six transistors per bit while DRAM uses one transistor plus one capacitor per bit.	This transistor count difference explains why SRAM is faster and more expensive than DRAM, leading to different uses in the memory hierarchy.
DRAM cells are organized into supercells in a rectangular array with r rows and c columns.	This two-dimensional organization reduces the number of address pins needed but requires addresses to be sent in two distinct steps.
RAS (Row Access Strobe) request specifies the row address when accessing a DRAM supercell.	This first step of DRAM access copies an entire row into the internal row buffer, preparing for subsequent column selection.
CAS (Column Access Strobe) request specifies the column address after the RAS request in DRAM access.	This second step selects the specific supercell data from the row buffer and transfers it to the memory controller.
Locality refers to the tendency of programs to access the same data items repeatedly or nearby data items.	This fundamental property enables the memory hierarchy to work effectively by placing frequently accessed data in faster storage levels.
Temporal locality means programs tend to access the same memory locations that they have accessed recently.	This pattern occurs in loops and repeated function calls, making recently accessed data good candidates for caching at higher levels.
Spatial locality means programs tend to access memory locations that are near recently accessed locations.	This pattern occurs with array accesses and sequential instruction execution, justifying the use of cache blocks that fetch multiple adjacent bytes.
Programs with good locality access more data from upper levels of the memory hierarchy than programs with poor locality.	This principle explains why optimizing for locality can improve performance by factors of 20 or more in memory-intensive applications.
Cache memories act as staging areas between the CPU and main memory with 1 to 30 cycle access times.	These intermediate storage levels provide a crucial performance buffer, bridging the gap between fast CPU and slow main memory.
Main memory access typically requires 50 to 200 cycles compared to cache access times.	This significant latency difference makes cache hit rates critical for overall system performance in memory-intensive applications.
Disk access requires tens of millions of cycles compared to main memory access times.	This enormous latency gap makes virtual memory systems essential for managing the performance impact of secondary storage access.
Memory controller transfers w bits at a time to and from each DRAM chip during access operations.	This interface design balances pin count limitations with data throughput requirements in modern memory system implementations.
DRAM chips use shared address pins for both row and column addresses to minimize pin count.	This design choice reduces manufacturing costs but increases access complexity by requiring two-phase addressing protocols.
Internal row buffer in DRAM stores an entire row of supercells during access operations.	This intermediate storage enables column selection after row activation and provides opportunities for spatial locality exploitation.
The memory hierarchy works because well-written programs access each level more frequently than the next lower level.	This fundamental principle of decreasing access frequency with decreasing speed enables cost-effective large memory systems.
Memory hierarchy provides large pool of memory that costs as much as cheap storage but serves data at fast storage rates.	This economic principle enables systems to achieve both high capacity and high performance within reasonable cost constraints.
SRAM is persistent as long as power is applied, unlike DRAM which requires periodic refresh cycles.	This persistence property makes SRAM ideal for cache applications where refresh overhead would impact performance.
SRAM is not sensitive to disturbances such as light and electrical noise unlike DRAM cells.	This robustness makes SRAM suitable for cache memories that must maintain data integrity in electrically noisy environments.
DRAM sensitivity to light rays causes capacitor voltages to change, similar to digital camera sensors.	This physical property demonstrates the fundamental charge-based storage mechanism and explains DRAM's environmental sensitivity.
Error-correcting codes encode computer words with additional bits to detect and correct single-bit errors.	This technique addresses DRAM reliability issues by adding redundancy, typically encoding 32-bit words with 38 bits.
Desktop systems typically have few megabytes of SRAM but hundreds or thousands of megabytes of DRAM.	This capacity difference reflects the cost-density trade-offs that drive memory hierarchy design in practical systems.
Two-dimensional DRAM array organization reduces address pins but increases access time with two-step addressing.	This design trade-off balances manufacturing cost (fewer pins) against performance cost (longer access latency).
Linear array organization would require more address pins but enable single-step addressing for faster access.	This alternative organization shows how memory system design involves trade-offs between pin count, cost, and performance.
Memory system must periodically refresh every DRAM bit by reading it out and rewriting it.	This essential maintenance operation prevents data loss due to charge leakage but consumes memory bandwidth and power.
SRAM cells use more transistors and have lower densities, making them more expensive and power-hungry than DRAM.	These trade-offs explain why SRAM is used for small, fast caches while DRAM is used for large main memory.
Cache miss penalty represents the additional cycles required when data is not found in cache memory.	This performance cost drives the importance of cache design and locality optimization in high-performance computing systems.
