주문 참조를 위해 주문 번호를 보관해 두세요.	Please keep your order number for future reference.
이메일로 발송된 링크를 사용하여 당신의 주문을 추적할 수 있습니다.	You can track your order using the link sent to your email address.
이 신발에 대한 교체품을 받을 수 있을까요?	Would it be possible to get a replacement for these shoes?
출발 24시간 이내에 취소하면 취소 수수료가 있습니다.	There is a cancellation fee if you cancel within 24 hours of departure.
그 소프트웨어의 무료 체험판을 다운로드할 수 있습니다.	You can download a free trial version of the software.
그의 막판 취소로 인해 회의 안건을 재구성해야 했습니다.	We had to reorganize the meeting agenda due to his last-minute cancellation.
그 앱의 사용자 친화적인 디자인 덕분에 초보자도 어려움 없이 사용할 수 있습니다.	The app's user-friendly design allows even beginners to navigate it without difficulty.
이 5성급 호텔은 최고 수준의 서비스와 세심한 배려로 유명합니다.	This five-star hotel is known for its top-notch service and attention to detail.
금요일까지 프로젝트 보고서를 제출해 달라는 친절한 알림입니다.	This is a friendly reminder to submit your project report by Friday.
그들의 계절 한정 메뉴는 지역 재료를 강조하기 위해 세 달마다 바뀝니다.	Their seasonal menu changes every three months to highlight local ingredients.
그 초콜릿 수플레는 너무 부드러워서 한 입 베어 물 때마다 당신의 입에서 녹습니다.	The chocolate soufflé was so delicate it would melt in your mouth with every bite.
그 호텔의 레스토랑은 우리 가족의 취향에 완벽히 맞췄습니다.	The hotel's restaurant perfectly catered to our family's taste.
박물관이 꽤 크니, 하루 종일 즐기면서 모든 전시를 둘러봅시다.	Since the museum is quite large, let's make a day of it and explore all the exhibits.
이 식당은 어린이 놀이 공간과 특별 아동용 메뉴를 갖춘 가족 친화적인 분위기를 제공합니다.	This restaurant offers a family-friendly atmosphere with a kids' play area and special children's menu.
이 작은 카페는 현지인들이 좋아하지만 관광객들은 거의 발견하지 못하는 숨겨진 보석 같은 장소입니다.	This small café is a hidden gem that locals love but tourists rarely discover.
남극 여행은 진정으로 제가 절대로 잊지 못할 일생일대의 기회였습니다.	Traveling to Antarctica was truly a once-in-a-lifetime opportunity that I'll never forget.
저희는 잘 알려지지 않았지만 방문할 가치가 있는 마을을 찾고 있습니다.	We are looking for villages that are off the beaten path but worth visiting.
저는 재충전하기 위해 산에서 2주간 휴가를 보낼 계획입니다.	I'm planning a two-week vacation in the mountains to recharge myself.
도심과 가까운 좋은 동네에 위치해 있기 때문에 임대료가 더 높습니다.	The rental price is higher because it's located in a good neighborhood close to downtown.
그 공원은 제 아파트에서 걸어서 갈 수 있는 거리 내에 있습니다.	The park is within walking distance of my apartment.
분리[분류]되지 않은 쓰레기를 복도에 남겨 두지 말아달라고 거주자들에게 제공해 주시겠어요?	Could you please remind the residents not to leave unsorted trash in the hallway?
이 지역의 소음 규제는 오후 9시 이후에는 큰 음악 소리를 55데시벨 이하로 제한합니다.	The noise regulation in this area limits loud music to 55 decibels after 9 P.M.
화재 안전 규칙에 대한 건물 전체 알림을 보낼 것을 제안합니다.	I suggest that we send a building-wide reminder about fire safety rules.
회사는 안전을 향상시키기 위해 사무실의 낡은 시설을 개선하기로 했습니다.	The company has decided to upgrade outdated facilities in the office to improve safety.
교통 상황을 차려보고 새로운 소식이 있으면 알려 드리겠습니다.	I'll keep an eye on the traffic situation and let you know if there are any updates.
이번 주에 기술자가 제 세탁기를 수리하도록 예약하는 것이 가능할까요?	Would it be possible to arrange for a technician to repair my washing machine this week?
어제 당신의 호텔에서 받은 서비스에 대한 불만을 제기하고 싶습니다.	I would like to file a complaint about the poor service I received at your hotel yesterday.
제가 항공편 지연에 대한 보상을 받을 자격이 있는지 알려 주실 수 있으시겠어요?	Could you please let me know if I am eligible to receive compensation for the flight delay?
이번 프로젝트에 참여한 것은 정말 의미 있는 경험이었습니다.	Working on this project has been a truly meaningful experience.
예약은 Kim이라는 이름으로 되어 있습니다.	The reservation is under the name Kim.
필요하다면 당신의 일정에 맞출 수 있습니다.	I can adjust to your schedule if needed.
회사에서는 다음 달에 연말 파티를 열 예정입니다.	The company is throwing a holiday party next month.
결정하기 전에, 좋은 대안들을 탐색해보세요.	Before deciding, explore strong alternatives.
제가 조기 등록을 하면 할인 대상이 될 수 있을지 궁금했습니다.	I was wondering if I might be eligible for a discount if I register early.
시에서 불법 주차에 대해 벌금을 부과할 예정입니다.	The city will impose a fine for illegal parking.
경제학과에서 수업을 신청하는 것이 아직 가능한지 알고 싶습니다.	I'd like to ask if it's still possible to sign up for classes in the economics department.
많은 학생들이 마감 직전에 과목을 추가하려고 합니다.	Many students try to add courses at the last minute before the deadline.
학생들은 2학년이 끝날 때까지 전공을 선언해야 합니다.	Students are required to declare a major by the end of their sophomore year.
교수님은 매 수업 후에 강의 노트를 업로드합니다.	The professor uploads lecture notes after each class.
강의 계획서에 이번 학기에 세 번의 시험이 있을 것이라고 명시되어 있습니다.	The course syllabus states that there will be three exams this semester.
성적 평가 기준을 확인하고 기말고사가 제 성적의 40퍼센트의 가치가 있다는 것을 깨달았습니다.	I checked the grading policy and realized that my final exam is worth 40 percent of my grade.
대학원 지원을 위한 성적증명서를 요청하고 싶습니다.	I would like to request a transcript for my graduate school application.
다음 주 과제 마감을 충족하기로 했습니다.	I have to meet the deadline for the assignment due next week.
저는 일주일 내내 아팠기 때문에 제 논문에 대한 기한 연장을 요청해야 했습니다.	I had to ask for an extension of my paper because I was sick all week.
저는 그 강의의 주요 내용을 필기합니다.	I took notes on the main points of the lecture.
학생 포털을 통해, 저는 학기 내내 쉽게 제 진행 상황을 추적할 수 있습니다.	Using the student portal, I can easily track my progress throughout the semester.
저는 시험 전에 공부를 따라잡기 위해 밤새 깨어 있었습니다.	I stayed up all night to catch up on my studies before the exam.
저희는 방해가 되는 행동에 대해 무관용 정책을 적용합니다.	We have a zero-tolerance policy for disruptive behavior.
저는 데이터 분석가로서의 제 진로 목표와 일치하기 때문에 관심이 있습니다.	I'm interested in taking this course because it aligns with my career goals as a data analyst.
이 수업이 글로벌 이슈에 대한 저의 학문적 시야를 넓히는 데 도움을 줄 것입니다.	This course will help me broaden my academic perspective on global issues.
저는 고대사에서 대학원을 진학하기 위해 저의 학문적 관심을 더 탐구하기 위해 대학원에 지원하는 것을 고려하고 있습니다.	I am considering applying to graduate school to further pursue my academic interests in ancient history.
학생회가 신입생을 환영 행사를 조직하고 있습니다.	The student council is organizing a welcome event for new students.
학생회가 신입생을 위한 행사를 주최할 예정입니다.	The student association will host an event for new students.
저는 일반적인 면접 질문에 답하는 연습을 하기 위해 모의 면접에 참여했습니다.	I participated in a mock interview to practice answering common interview questions.
장학금을 신청 방법에 대한 설명회가 있을까요?	Will there be an info session on how to apply for the scholarship?
이를 확인해 참가 자리를 확보할 수 있는지 문의하기 위해 이메일드립니다.	I'm emailing to ask if I can still secure a spot in the summer workshop.
중요한 결정을 내리기 전에, 경험이 있는 사람에게 그 문제에 대해 조언을 구하는 것이 좋은 생각입니다.	Before making a big decision, it's a good idea to seek advice on the matter from someone with experience.
이번 시즌에 팀 주장으로서 주도해 주셔서 감사합니다.	Thank you for taking the lead as the team captain this season.
발표에 더 많은 시각 자료를 포함하는 것이 더 나을지도 모릅니다.	It might be better to include more visual aids in your presentation.
각 학생은 학기 말에 발표를 해야 합니다.	Each student must deliver a presentation at the end of the semester.
그녀는 학생회의 재정을 관리하는 것을 담당하고 있습니다.	She is in charge of managing the finances for the student council.
에세이를 쓰기 전에 개요를 작성하는 것은 항상 도움이 됩니다.	It's always helpful to draft an outline before writing your essay.
연구 논문을 위해 뒷받침할 자료를 모아야 합니다.	You need to gather supporting data for your research paper.
영화 동아리는 금요일 밤마다 주간 상영회를 엽니다.	The film club holds weekly screenings on Friday nights.
토론 동아리는 수요일에 정기 모임을 가지니, 우리는 수업 후에 잠깐 들를 수 있습니다.	The debate club has regular meetings on Wednesdays, so we can just drop by after class.
신입생 오리엔테이션 일정은 학교 웹사이트에 게시되어 있습니다.	The freshman orientation schedule is posted on the school website.
룸메이트들은 청소에 대한 책임을 분담해야 합니다.	Roommates should share responsibilities for cleaning.
기숙사에서 서로의 사생활을 존중하는 것이 중요합니다.	It is important to respect each other's privacy in the dorm.
함께 봉사활동을 하는 것은 지역 사회 사람들과 유대감을 쌓을 기회를 줍니다.	Volunteering together gives us a chance to bond with people in the community.
스터디 그룹에 참여한 것이 스스로 동기를 유지하는 데 도움이 되었습니다.	Joining a study group has helped me keep myself motivated.
새로운 사회 집단에 적응하는 것은 사회적 규범에 대한 이해로부터 시작되는 학습 과정이다.	Adapting to a new social circle is a learning process that begins with an understanding of social norms.
교실 토론은 학생들이 대화를 통해 사회적 기술을 익히도록 장려한다.	Classroom discussions encourage students to practice their social skills through dialogue.
유치원에서의 인격 발달은 아이들에게 한 집단의 일원으로서 상호 작용하는 방법을 가르치는 데 맞춰져 있다.	Personality development in kindergarten is geared toward teaching children how to interact as part of a group.
잘 교육받은 사람은 지식과 기술을 실제 상황에 적용할 수 있다.	A well-educated person can apply knowledge and skills to real-life situations.
인성을 함양하는 것은 어떤 학문적·경제적 성공보다도 더 중요하다.	Building a strong character is more important than any academic or financial success.
