What is address translation in virtual memory?	The process of converting a virtual address to a physical address using page tables and hardware support like the MMU.
What two main components make up a virtual address?	The Virtual Page Number (VPN) for indexing the page table, and the Virtual Page Offset (VPO) for locating bytes within a page.
What is the role of the MMU in address translation?	The MMU (Memory Management Unit) translates virtual addresses to physical addresses by walking page tables and enforcing memory protection.
What happens when the valid bit in a PTE is 0?	A page fault exception is triggered, causing the OS to handle the missing page by loading it from disk or terminating the process.
What is the purpose of the TLB in virtual memory?	The TLB (Translation Lookaside Buffer) caches recent address translations to avoid costly page table lookups on every memory access.
How is the physical address formed after address translation?	By concatenating the Physical Page Number (PPN) from the PTE with the Virtual Page Offset (VPO) from the original virtual address.
What is a page table entry (PTE)?	A data structure that maps a virtual page to a physical page and contains metadata like valid, dirty, and permission bits.
Why is the page offset not translated during address translation?	Because pages are contiguous blocks, the offset within a virtual page maps directly to the same offset in the physical page.
What is a page hit in virtual memory?	When the requested virtual page is already in physical memory (valid bit = 1), allowing immediate access without disk I/O.
What is a page fault?	An exception raised when a program accesses a virtual page that is not currently in physical memory (valid bit = 0).
What does the dirty bit in a PTE indicate?	Whether the page has been modified since being loaded into memory, determining if it must be written back to disk when evicted.
What is the purpose of permission bits in a PTE?	They specify access rights (read, write, execute) for the page, enabling memory protection and preventing unauthorized access.
In a single-level page table, how is the PPN obtained?	The VPN is used as an index into the page table array to access the PTE containing the PPN.
What is a TLB miss?	When the requested address translation is not in the TLB cache, requiring a page table walk in main memory.
What is a TLB hit?	When the MMU finds the required address translation in the TLB, avoiding a page table lookup and speeding up memory access.
Why do systems use multi-level page tables?	To reduce memory overhead by allocating page table space only for used regions of the virtual address space, not the entire range.
What is a page table walk?	The process of traversing multiple levels of page tables to translate a virtual address when there's a TLB miss.
How does a 2-level page table reduce memory usage?	It splits the VPN into two parts, creating a hierarchy where second-level tables are allocated only for active memory regions.
What is the coverage of a TLB?	The total amount of virtual address space that can be translated by all entries currently cached in the TLB.
What happens during a TLB hit in the address translation pipeline?	The MMU retrieves the PPN directly from the TLB, concatenates it with the VPO, and accesses physical memory without touching the page table.
What is memory mapping (mmap) in Unix systems?	A mechanism to map files or devices into a process's virtual address space, allowing file I/O through memory operations.
What system call creates a memory mapping in Linux?	The mmap() function, which maps a file descriptor or anonymous memory into the process's address space.
What is the benefit of using mmap for file I/O?	It eliminates explicit read/write system calls by allowing direct memory access, improving performance through the kernel's page cache.
What is an anonymous mapping?	A memory mapping not backed by a file, used for allocating private memory like the heap or stack regions.
What is a shared mapping in mmap?	A mapping where changes to the memory region are visible to other processes mapping the same object, enabling IPC.
What is a private mapping (MAP_PRIVATE)?	A copy-on-write mapping where modifications create a private copy, isolating changes from other processes and the underlying file.
How does copy-on-write work with private mappings?	Initially pages are shared read-only; when a write occurs, the kernel copies the page and updates the writing process's page table.
